29UQR;EPSG:32629;WGS 84 / UTM zone 29N;-6.179231055 50.518113703 -4.72262961819 49.4856202918
29UQS;EPSG:32629;WGS 84 / UTM zone 29N;-6.12428271141 51.4158976959 -4.64237810157 50.3821222504
29UQT;EPSG:32629;WGS 84 / UTM zone 29N;-6.0663842342 52.3140378043 -4.55790481542 51.2789251823
29UQU;EPSG:32629;WGS 84 / UTM zone 29N;-6.00535907716 53.2119928714 -4.46896782919 52.1754847187
29UQV;EPSG:32629;WGS 84 / UTM zone 29N;-5.94101727203 54.1092219916 -4.37530784208 53.0712565282
29VNC;EPSG:32629;WGS 84 / UTM zone 29N;-9.00032785736 56.8438118172 -7.2467141358 55.8448305262
29VND;EPSG:32629;WGS 84 / UTM zone 29N;-9.00033594666 57.7422981523 -7.20509396412 56.743030775
29VNE;EPSG:32629;WGS 84 / UTM zone 29N;-9.00034453192 58.6406561858 -7.16098839505 57.6410797263
29VNJ;EPSG:32629;WGS 84 / UTM zone 29N;-9.00038477102 62.2317700636 -6.95518642352 61.2306854363
29VNK;EPSG:32629;WGS 84 / UTM zone 29N;-9.00039660496 63.1295192136 -6.89495280427 62.1279765584
29VPC;EPSG:32629;WGS 84 / UTM zone 29N;-7.36109357157 56.8330552845 -5.65163871356 55.8117360321
29VPD;EPSG:32629;WGS 84 / UTM zone 29N;-7.32067932953 57.7311663809 -5.57229005241 56.7088007768
29VPE;EPSG:32629;WGS 84 / UTM zone 29N;-7.27778907761 58.6291301329 -5.48821342015 57.6056589659
29VPF;EPSG:32629;WGS 84 / UTM zone 29N;-7.23223463431 59.5264083045 -5.39906563235 58.5017680576
29VPJ;EPSG:32629;WGS 84 / UTM zone 29N;-7.07678915267 62.2184397371 -5.09605100162 61.1898464738
29VPK;EPSG:32629;WGS 84 / UTM zone 29N;-7.01768576481 63.1156692653 -4.98132292036 62.0855865457
30STE;EPSG:32630;WGS 84 / UTM zone 30N;-6.33240658759 36.0985230304 -5.08789124165 35.1368985412
30STF;EPSG:32630;WGS 84 / UTM zone 30N;-6.37131820919 36.9986680798 -5.11143123293 36.0381279927
30STG;EPSG:32630;WGS 84 / UTM zone 30N;-6.41197247867 37.8980997874 -5.13602504584 36.9386673111
30STH;EPSG:32630;WGS 84 / UTM zone 30N;-6.45450296408 38.7978946473 -5.16175219507 37.8395954939
30STJ;EPSG:32630;WGS 84 / UTM zone 30N;-6.49897689949 39.6975094676 -5.18865192655 38.7403699566
30SUD;EPSG:32630;WGS 84 / UTM zone 30N;-5.1975416534 35.2231249406 -3.97959195172 34.2490077042
30SUE;EPSG:32630;WGS 84 / UTM zone 30N;-5.22239646652 36.1242760113 -3.99027923563 35.1508430708
30SUF;EPSG:32630;WGS 84 / UTM zone 30N;-5.24837990395 37.0252757852 -4.00145196296 36.0525410086
30SUG;EPSG:32630;WGS 84 / UTM zone 30N;-5.2755282362 37.9255817499 -4.01312514326 36.9535591425
30SUH;EPSG:32630;WGS 84 / UTM zone 30N;-5.30393084279 38.826272624 -4.02533655911 37.8549776624
30SUJ;EPSG:32630;WGS 84 / UTM zone 30N;-5.33363283055 39.7268059526 -4.03810488538 38.7562543585
30SVD;EPSG:32630;WGS 84 / UTM zone 30N;-4.09948035662 35.238083543 -2.89399750434 34.2528757597
30SVE;EPSG:32630;WGS 84 / UTM zone 30N;-4.11192509218 36.1397366041 -2.89284079766 35.1548426452
30SVF;EPSG:32630;WGS 84 / UTM zone 30N;-4.12493526264 37.0412497841 -2.89163154255 36.0566749851
30SVG;EPSG:32630;WGS 84 / UTM zone 30N;-4.1385290788 37.9420809161 -2.89036811333 36.9578304876
30SVH;EPSG:32630;WGS 84 / UTM zone 30N;-4.15275135075 38.843310058 -2.88904641936 37.8593896848
30SVJ;EPSG:32630;WGS 84 / UTM zone 30N;-4.16762472753 39.7443952014 -2.88766443793 38.7608104753
30SWD;EPSG:32630;WGS 84 / UTM zone 30N;-3.00021982617 35.2430777118 -1.80780181096 34.2471243765
30SWE;EPSG:32630;WGS 84 / UTM zone 30N;-3.00022231495 36.1448984131 -1.79479624665 35.148895712
